tag,conteudo,saida
VARA,"['araujo': 0.0, 'desembargador': 0.11100832562442184, 'sob': 0.0, 'ser': 0.0, 'marcar': 0.004625346901017576, 'klever': 0.0, 'pedrar': 0.0, 'ordinaria': 0.004625346901017576, 'sessao': 0.1572617946345976, 'excelentissimo': 0.0, 'mero': 0.0, 'auditorio': 0.0, 'presidencia': 0.0, 'acioli': 0.0, 'regar': 0.0, 'nascimento': 0.0, 'm.': 0.0, 'justica': 0.0971322849213691, 'cahet': 0.0, 'reunir': 0.0, 'declarar': 0.0, 'mendonca': 0.0, 'aberto': 0.0, 'olavo': 0.0, 'presidente': 0.0, 'civel': 0.06290471785383904, 'loureiro': 0.0, 'haver': 0.0, 'marco': 0.0, 'augusto': 0.0, 'situar': 0.0, 'valente': 0.0, 'edificio': 0.0, 'exmo': 0.0037002775208140612, 'elisabeth': 0.0, 'atar': 0.004625346901017576, 'tribunal': 0.0, 'quorum': 0.0, 'sr': 0.0, 'limar': 0.0, 'des': 0.0, 'edgar': 0.0, 'n': 0.0, 'procurador': 0.0, 'carvalho': 0.0, 'presente': 0.0, 'aprovar': 0.0, 'camara': 0.06290471785383904]",0
VARA,"['noto': 0.0, 'camara': 0.0, 'civel': 0.0, 'declaratoria': 0.0]",0
VARA,"['criminal': 0.0, 'camara': 0.0]",0
VARA,"['relator.des': 0.0, 'art': 0.0, 'juliano': 0.0, 'civil': 0.0, 'visto': 0.0, 'melar': 0.00023293733985557883, 'casar': 0.0, 'juizo': 0.08717679944095039, 'al': 0.0006988120195667365, 'airan': 0.00023293733985557883, 'camara': 0.0, 'oab': 0.006289308176100628, 'suscitante': 0.0, 'fazenda': 0.0026205450733752618, 'decorrer': 0.0, 'varar': 0.0, 'justica': 0.0, 'suscitar': 0.006289308176100628, 'informacoes': 0.0, 'capital': 0.0, 'lira': 0.0, 'juizado': 0.0, 'civel': 0.02795248078266946, 'tiago': 0.0, 'silvar': 0.0, 'barreto': 0.0, 'municipal': 0.0026205450733752618, 'estadual': 0.0, 'mandar': 0.0, 'publicar': 0.0, 'procurador': 0.0, 'advogar': 0.0, 'manifestacao': 0.0, 'termo': 0.0, 'souza': 0.0, 'tutmes': 0.00023293733985557883, 'geral': 0.0, 'relator': 0.0, 'municipio': 0.0, 'processar': 0.0, 'c': 0.0, 'n.': 0.0, 'maceio': 0.0, 'des': 0.0, 'dia': 0.0, 'oficiar': 0.03214535290006988, 'coutinho': 0.0, 'partir': 0.0026205450733752618, 'despachar': 0.0, 'abril': 0.0, 'procuradoria': 0.0, 'prestar': 0.0, 'codigo': 0.0, 'prazo': 0.02795248078266946, 'diogo': 0.0]",1
VARA,"['relator.des': 0.0, 'art': 0.0, 'informacoes': 0.0, 'civil': 0.0, 'visto': 0.0, 'melar': 0.00024189646831156264, 'juizo': 0.09052975326560232, 'al': 0.000725689404934688, 'ferreiro': 0.0, 'camara': 0.0, 'oab': 0.001451378809869376, 'prazo': 0.02902757619738752, 'fazenda': 0.00272133526850508, 'bispar': 0.0, 'nataniel': 0.0, 'varar': 0.0, 'justica': 0.0, 'patricia': 0.0, 'suscitar': 0.006531204644412192, 'oliveira': 0.0, 'capital': 0.0, 'relator': 0.0, 'juizado': 0.0, 'civel': 0.02902757619738752, 'silvar': 0.001451378809869376, 'airan': 0.00024189646831156264, 'municipal': 0.00272133526850508, 'estadual': 0.0, 'mandar': 0.0, 'publicar': 0.0, 'procurador': 0.0, 'suscitante': 0.0, 'advogar': 0.0, 'manifestacao': 0.0, 'termo': 0.0, 'tutmes': 0.00024189646831156264, 'geral': 0.0, 'municipio': 0.0, 'processar': 0.0, 'c': 0.0, 'n.': 0.0, 'maceio': 0.0, 'des': 0.0, 'dia': 0.0, 'oficiar': 0.033381712626995644, 'coutinho': 0.0, 'partir': 0.00272133526850508, 'despachar': 0.0, 'abril': 0.0, 'procuradoria': 0.0, 'prestar': 0.0, 'codigo': 0.0, 'decorrer': 0.0, 'diogo': 0.0]",1
VARA,"['intimacao': 0.0, 'varar': 0.0, 'advogar': 0.0, 'civel': 0.0, 'capital': 0.0]",0
VARA,"['intimacao': 0.0, 'varar': 0.0, 'advogar': 0.0, 'civel': 0.0, 'capital': 0.0]",0
VARA,"['intimacao': 0.0, 'varar': 0.0, 'advogar': 0.0, 'civel': 0.0, 'capital': 0.0]",0
VARA,"['intimacao': 0.0, 'varar': 0.0, 'advogar': 0.0, 'civel': 0.0, 'capital': 0.0]",0
VARA,"['intimacao': 0.0, 'varar': 0.0, 'advogar': 0.0, 'civel': 0.0, 'capital': 0.0]",0
